Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,613450,563566,49884,956633,51962,329206,5122,0.918683,0.917182,0.34413,,,1.78298351359,2.34045561553
INDEL,PASS,613450,556069,57381,843571,28451,248757,1055,0.906462,0.952168,0.294886,,,1.78298351359,1.98534374559
SNP,ALL,3659109,3561208,97901,3936521,29298,344541,10335,0.973245,0.991843,0.087524,2.06091753493,1.97018486515,1.54652967967,1.65003256109
SNP,PASS,3659109,3519391,139718,3699645,12203,166711,1693,0.961816,0.996546,0.045061,2.06091753493,2.05242110108,1.54652967967,1.58510403328
