Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,612157,547242,64915,944643,63712,321951,19872,0.893957,0.897683,0.340818,,,1.79488602324,2.42531968071
INDEL,PASS,612157,542163,69994,849957,42860,254323,15770,0.88566,0.928043,0.299219,,,1.79488602324,2.11354999738
SNP,ALL,3641960,3464186,177774,3911798,104709,341547,87503,0.951187,0.970672,0.087312,2.05912733704,1.96949635942,1.54968948991,1.71902801014
SNP,PASS,3641960,3424181,217779,3681204,87100,168699,78609,0.940203,0.975203,0.045827,2.05912733704,2.05170298858,1.54968948991,1.65083944358
