Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,612157,546848,65309,942942,65406,318975,19962,0.893313,0.895177,0.338276,,,1.79488602324,2.42332628691
INDEL,PASS,612157,541671,70486,847432,43010,252159,15841,0.884856,0.927747,0.297557,,,1.79488602324,2.10603231032
SNP,ALL,3641960,3464412,177548,3908358,106634,335951,87465,0.951249,0.970151,0.085957,2.05912733704,1.97466084213,1.54968948991,1.71526993489
SNP,PASS,3641960,3424300,217660,3681503,88081,167896,78588,0.940235,0.974931,0.045605,2.05912733704,2.0515097323,1.54968948991,1.65061974692
